waypoint1	waypoint2	distance_m	duration_s
Cascade Lakes National Scenic Byway, Bend, OR 97701	Kiwa Butte Trail, Bend, OR 97701	10353	651
Tiddlywinks Trail, Bend, OR 97701	Kiwa Butte Trail, Bend, OR 97701	2640	303
Swede Ridge Rd, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	349473	15299
National Forest Development Road 1912, Westfir, Oregon 97492	Camp Tapawingo, Black Rock Road, Falls City, Oregon	204163	9250
Cascade Lakes National Scenic Byway, Bend, OR 97701	Tiddlywinks Trail, Bend, OR 97701	8986	672
National Forest Development Road 550, Lowell, OR 97452	16213-16221 Skyliners Rd, Bend, OR 97701	198375	10532
Cascade Lakes National Scenic Byway, Bend, OR 97701	Storm King Trail, Bend, OR 97701	15048	1071
Kiwa Butte Trail, Bend, OR 97701	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	221128	9775
Paulina Lake Campground, La Pine, OR 97739	Swede Ridge Rd, Bend, OR 97701	74319	4150
Paulina Lake Campground, La Pine, OR 97739	National Forest Development Road 1912, Westfir, Oregon 97492	159472	7995
Cascade Lakes National Scenic Byway, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	338369	14123
Tiddlywinks Trail, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	278655	12794
North Campground, Lane County, OR	National Forest Development Road 1910, Westfir, OR 97492	85726	4645
Paulina Lake Campground, La Pine, OR 97739	Fall Creek Access Rd, Alsea, OR 97324	268892	12302
Cascade Lakes National Scenic Byway, Bend, OR 97701	Swede Ridge Rd, Bend, OR 97701	11104	1175
Storm King Trail, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	274185	12842
Tolo Creek	5057 Riordan Hill Dr, Hood River, OR 97031	406618	17607
16213-16221 Skyliners Rd, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	272376	12587
5057 Riordan Hill Dr, Hood River, OR 97031	Storm King Trail, Bend, OR 97701	251787	11637
Cascade Lakes National Scenic Byway, Bend, OR 97701	Woods Creek Rd, Philomath, OR 97370	251401	11791
McKenzie River Trail, Lane County, OR	Swede Ridge Rd, Bend, OR 97701	135569	6678
Swede Ridge Rd, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	262288	13238
Tiddlywinks Trail, Bend, OR 97701	Woods Creek Rd, Philomath, OR 97370	248910	11981
North Campground, Lane County, OR	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	239993	9515
McKenzie River Trail, Lane County, OR	Fall Creek Access Rd, Alsea, OR 97324	152778	7353
Tolo Creek	Paulina Lake Campground, La Pine, OR 97739	157187	7204
Woods Creek Rd, Philomath, OR 97370	Paulina Lake Campground, La Pine, OR 97739	296303	12824
National Forest Development Road 1910, Westfir, OR 97492	Kiwa Butte Trail, Bend, OR 97701	167563	8388
McKenzie River Trail, Lane County, OR	16213-16221 Skyliners Rd, Bend, OR 97701	131869	6141
5057 Riordan Hill Dr, Hood River, OR 97031	National Forest Development Road 1912, Westfir, Oregon 97492	355060	14045
Tiddlywinks Trail, Bend, OR 97701	Tolo Creek	179510	8478
North Campground, Lane County, OR	Swede Ridge Rd, Bend, OR 97701	212195	9741
16213-16221 Skyliners Rd, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	258588	12701
McKenzie River Trail, Lane County, OR	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	282053	11979
National Forest Development Road 1910, Westfir, OR 97492	16213-16221 Skyliners Rd, Bend, OR 97701	189460	9361
National Forest Development Road 550, Lowell, OR 97452	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	291184	13018
Storm King Trail, Bend, OR 97701	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	215868	9734
16213-16221 Skyliners Rd, Bend, OR 97701	Kiwa Butte Trail, Bend, OR 97701	35488	2097
Storm King Trail, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	260397	12956
Fall Creek Access Rd, Alsea, OR 97324	Camp Tapawingo, Black Rock Road, Falls City, Oregon	98705	5502
Tiddlywinks Trail, Bend, OR 97701	Storm King Trail, Bend, OR 97701	12556	1261
Tiddlywinks Trail, Bend, OR 97701	National Forest Development Road 550, Lowell, OR 97452	188960	9919
Cascade Lakes National Scenic Byway, Bend, OR 97701	National Forest Development Road 550, Lowell, OR 97452	179974	9248
16213-16221 Skyliners Rd, Bend, OR 97701	Storm King Trail, Bend, OR 97701	9706	1487
Kiwa Butte Trail, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	279445	12883
Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	Swede Ridge Rd, Bend, OR 97701	217759	10016
5267 Herman Cape Rd, Florence, OR 97439	Camp Tapawingo, Black Rock Road, Falls City, Oregon	180480	8768
Woods Creek Rd, Philomath, OR 97370	5057 Riordan Hill Dr, Hood River, OR 97031	259694	10529
Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	National Forest Development Road 1912, Westfir, Oregon 97492	296591	12351
National Forest Development Road 550, Lowell, OR 97452	National Forest Development Road 1912, Westfir, Oregon 97492	39302	4396
Kiwa Butte Trail, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	334854	14459
5057 Riordan Hill Dr, Hood River, OR 97031	Fall Creek Access Rd, Alsea, OR 97324	287475	11894
National Forest Development Road 550, Lowell, OR 97452	Swede Ridge Rd, Bend, OR 97701	191097	10400
Tiddlywinks Trail, Bend, OR 97701	National Forest Development Road 1912, Westfir, Oregon 97492	183732	8759
McKenzie River Trail, Lane County, OR	5057 Riordan Hill Dr, Hood River, OR 97031	317457	13888
Tolo Creek	Camp Tapawingo, Black Rock Road, Falls City, Oregon	356175	15124
National Forest Development Road 550, Lowell, OR 97452	5057 Riordan Hill Dr, Hood River, OR 97031	348903	14802
National Forest Development Road 1910, Westfir, OR 97492	5267 Herman Cape Rd, Florence, OR 97439	194010	9151
Tolo Creek	National Forest Development Road 1912, Westfir, Oregon 97492	186155	9169
Tiddlywinks Trail, Bend, OR 97701	5057 Riordan Hill Dr, Hood River, OR 97031	255430	11529
North Campground, Lane County, OR	16213-16221 Skyliners Rd, Bend, OR 97701	208495	9204
National Forest Development Road 1910, Westfir, OR 97492	Camp Tapawingo, Black Rock Road, Falls City, Oregon	200408	9160
Tolo Creek	5267 Herman Cape Rd, Florence, OR 97439	285048	13034
Tolo Creek	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	371180	15799
National Forest Development Road 1910, Westfir, OR 97492	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	293674	12202
Cascade Lakes National Scenic Byway, Bend, OR 97701	McKenzie River Trail, Lane County, OR	140063	6185
Woods Creek Rd, Philomath, OR 97370	Swede Ridge Rd, Bend, OR 97701	246379	12256
Tolo Creek	16213-16221 Skyliners Rd, Bend, OR 97701	190842	8694
Tiddlywinks Trail, Bend, OR 97701	McKenzie River Trail, Lane County, OR	137572	6368
Cascade Lakes National Scenic Byway, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	284259	12518
5057 Riordan Hill Dr, Hood River, OR 97031	5267 Herman Cape Rd, Florence, OR 97439	378228	15139
Cascade Lakes National Scenic Byway, Bend, OR 97701	National Forest Development Road 1910, Westfir, OR 97492	173289	8022
McKenzie River Trail, Lane County, OR	Paulina Lake Campground, La Pine, OR 97739	172928	7605
Cascade Lakes National Scenic Byway, Bend, OR 97701	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	222253	9523
National Forest Development Road 550, Lowell, OR 97452	Paulina Lake Campground, La Pine, OR 97739	164765	9094
Kiwa Butte Trail, Bend, OR 97701	Storm King Trail, Bend, OR 97701	13923	1348
Woods Creek Rd, Philomath, OR 97370	Kiwa Butte Trail, Bend, OR 97701	249749	12015
Tiddlywinks Trail, Bend, OR 97701	Paulina Lake Campground, La Pine, OR 97739	63448	3620
National Forest Development Road 1912, Westfir, Oregon 97492	Swede Ridge Rd, Bend, OR 97701	185849	9353
Fall Creek Access Rd, Alsea, OR 97324	5267 Herman Cape Rd, Florence, OR 97439	123386	6799
Swede Ridge Rd, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	276076	13124
Tiddlywinks Trail, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	264811	12820
Kiwa Butte Trail, Bend, OR 97701	Swede Ridge Rd, Bend, OR 97701	15814	1613
National Forest Development Road 1910, Westfir, OR 97492	5057 Riordan Hill Dr, Hood River, OR 97031	351393	13920
National Forest Development Road 550, Lowell, OR 97452	5267 Herman Cape Rd, Florence, OR 97439	191521	9967
Kiwa Butte Trail, Bend, OR 97701	National Forest Development Road 1912, Westfir, Oregon 97492	171231	8513
Cascade Lakes National Scenic Byway, Bend, OR 97701	National Forest Development Road 1912, Westfir, Oregon 97492	174746	8178
Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	Fall Creek Access Rd, Alsea, OR 97324	229414	10064
Storm King Trail, Bend, OR 97701	Swede Ridge Rd, Bend, OR 97701	1830	273
National Forest Development Road 550, Lowell, OR 97452	Camp Tapawingo, Black Rock Road, Falls City, Oregon	197918	9975
McKenzie River Trail, Lane County, OR	Camp Tapawingo, Black Rock Road, Falls City, Oregon	213511	8999
National Forest Development Road 550, Lowell, OR 97452	Woods Creek Rd, Philomath, OR 97370	164503	8716
North Campground, Lane County, OR	Kiwa Butte Trail, Bend, OR 97701	215564	9501
McKenzie River Trail, Lane County, OR	National Forest Development Road 1912, Westfir, Oregon 97492	148570	7174
McKenzie River Trail, Lane County, OR	5267 Herman Cape Rd, Florence, OR 97439	207190	8938
Cascade Lakes National Scenic Byway, Bend, OR 97701	North Campground, Lane County, OR	229665	9758
5057 Riordan Hill Dr, Hood River, OR 97031	Paulina Lake Campground, La Pine, OR 97739	290512	12724
National Forest Development Road 1910, Westfir, OR 97492	Paulina Lake Campground, La Pine, OR 97739	158079	7869
Cascade Lakes National Scenic Byway, Bend, OR 97701	Tolo Creek	181930	7961
North Campground, Lane County, OR	Camp Tapawingo, Black Rock Road, Falls City, Oregon	146727	6473
Tiddlywinks Trail, Bend, OR 97701	National Forest Development Road 1910, Westfir, OR 97492	182275	8694
National Forest Development Road 1910, Westfir, OR 97492	National Forest Development Road 550, Lowell, OR 97452	35635	4271
16213-16221 Skyliners Rd, Bend, OR 97701	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	215225	9560
National Forest Development Road 1910, Westfir, OR 97492	McKenzie River Trail, Lane County, OR	144902	7042
Cascade Lakes National Scenic Byway, Bend, OR 97701	Paulina Lake Campground, La Pine, OR 97739	65824	3078
North Campground, Lane County, OR	Woods Creek Rd, Philomath, OR 97370	112209	5087
Tiddlywinks Trail, Bend, OR 97701	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	219762	9706
Woods Creek Rd, Philomath, OR 97370	Fall Creek Access Rd, Alsea, OR 97324	55183	3803
North Campground, Lane County, OR	Fall Creek Access Rd, Alsea, OR 97324	86220	4858
5057 Riordan Hill Dr, Hood River, OR 97031	Kiwa Butte Trail, Bend, OR 97701	257047	11678
Cascade Lakes National Scenic Byway, Bend, OR 97701	16213-16221 Skyliners Rd, Bend, OR 97701	36745	1846
Paulina Lake Campground, La Pine, OR 97739	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	255118	10942
Kiwa Butte Trail, Bend, OR 97701	Fall Creek Access Rd, Alsea, OR 97324	280744	12853
Paulina Lake Campground, La Pine, OR 97739	Camp Tapawingo, Black Rock Road, Falls City, Oregon	329493	13950
North Campground, Lane County, OR	Tolo Creek	241193	10795
16213-16221 Skyliners Rd, Bend, OR 97701	National Forest Development Road 1912, Westfir, Oregon 97492	193128	9485
Tiddlywinks Trail, Bend, OR 97701	Swede Ridge Rd, Bend, OR 97701	14447	1543
Paulina Lake Campground, La Pine, OR 97739	5267 Herman Cape Rd, Florence, OR 97439	323096	13941
McKenzie River Trail, Lane County, OR	Woods Creek Rd, Philomath, OR 97370	180189	7875
Tiddlywinks Trail, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	347499	14713
16213-16221 Skyliners Rd, Bend, OR 97701	5057 Riordan Hill Dr, Hood River, OR 97031	250811	11420
Woods Creek Rd, Philomath, OR 97370	Storm King Trail, Bend, OR 97701	244488	11974
Tolo Creek	Fall Creek Access Rd, Alsea, OR 97324	297952	13312
North Campground, Lane County, OR	Storm King Trail, Bend, OR 97701	210304	9459
Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	5267 Herman Cape Rd, Florence, OR 97439	333668	13372
North Campground, Lane County, OR	National Forest Development Road 550, Lowell, OR 97452	83236	5460
5057 Riordan Hill Dr, Hood River, OR 97031	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	98780	4972
5057 Riordan Hill Dr, Hood River, OR 97031	Swede Ridge Rd, Bend, OR 97701	253678	11919
Woods Creek Rd, Philomath, OR 97370	Camp Tapawingo, Black Rock Road, Falls City, Oregon	58964	3234
Tolo Creek	Storm King Trail, Bend, OR 97701	188534	8750
National Forest Development Road 550, Lowell, OR 97452	McKenzie River Trail, Lane County, OR	142413	7858
Woods Creek Rd, Philomath, OR 97370	National Forest Development Road 1912, Westfir, Oregon 97492	170840	8126
Woods Creek Rd, Philomath, OR 97370	5267 Herman Cape Rd, Florence, OR 97439	144684	7221
National Forest Development Road 550, Lowell, OR 97452	Fall Creek Access Rd, Alsea, OR 97324	137411	8361
Tolo Creek	Kiwa Butte Trail, Bend, OR 97701	176913	8118
North Campground, Lane County, OR	National Forest Development Road 1912, Westfir, Oregon 97492	88993	4906
16213-16221 Skyliners Rd, Bend, OR 97701	Paulina Lake Campground, La Pine, OR 97739	74737	3812
National Forest Development Road 1910, Westfir, OR 97492	Tolo Creek	184817	9059
National Forest Development Road 550, Lowell, OR 97452	Kiwa Butte Trail, Bend, OR 97701	176478	9559
National Forest Development Road 1912, Westfir, Oregon 97492	5267 Herman Cape Rd, Florence, OR 97439	197841	9189
North Campground, Lane County, OR	5057 Riordan Hill Dr, Hood River, OR 97031	296429	11006
McKenzie River Trail, Lane County, OR	Tolo Creek	288990	12462
National Forest Development Road 1912, Westfir, Oregon 97492	Fall Creek Access Rd, Alsea, OR 97324	143429	7604
National Forest Development Road 550, Lowell, OR 97452	Storm King Trail, Bend, OR 97701	195041	10295
Kiwa Butte Trail, Bend, OR 97701	Paulina Lake Campground, La Pine, OR 97739	60807	3235
National Forest Development Road 1910, Westfir, OR 97492	Fall Creek Access Rd, Alsea, OR 97324	139900	7546
National Forest Development Road 1910, Westfir, OR 97492	Woods Creek Rd, Philomath, OR 97370	166993	7901
Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	Camp Tapawingo, Black Rock Road, Falls City, Oregon	164458	7754
North Campground, Lane County, OR	McKenzie River Trail, Lane County, OR	77671	3457
16213-16221 Skyliners Rd, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	338710	14936
Storm King Trail, Bend, OR 97701	5267 Herman Cape Rd, Florence, OR 97439	353417	15195
Storm King Trail, Bend, OR 97701	National Forest Development Road 1912, Westfir, Oregon 97492	189793	9249
16213-16221 Skyliners Rd, Bend, OR 97701	Swede Ridge Rd, Bend, OR 97701	7876	1208
Tolo Creek	Woods Creek Rd, Philomath, OR 97370	325363	13834
Cascade Lakes National Scenic Byway, Bend, OR 97701	Camp Tapawingo, Black Rock Road, Falls City, Oregon	280570	12631
Cascade Lakes National Scenic Byway, Bend, OR 97701	5057 Riordan Hill Dr, Hood River, OR 97031	257921	11339
Tolo Creek	Swede Ridge Rd, Bend, OR 97701	190425	9032
Woods Creek Rd, Philomath, OR 97370	16213-16221 Skyliners Rd, Bend, OR 97701	242679	11718
North Campground, Lane County, OR	Paulina Lake Campground, La Pine, OR 97739	214455	9604
National Forest Development Road 1910, Westfir, OR 97492	National Forest Development Road 1912, Westfir, Oregon 97492	8492	828
Tiddlywinks Trail, Bend, OR 97701	North Campground, Lane County, OR	238651	10430
Woods Creek Rd, Philomath, OR 97370	Sandy Ridge Trail System, East Barlow Trail Road, Sandy, OR	201385	8848
National Forest Development Road 1910, Westfir, OR 97492	Swede Ridge Rd, Bend, OR 97701	182182	9228
North Campground, Lane County, OR	5267 Herman Cape Rd, Florence, OR 97439	140330	6464
5057 Riordan Hill Dr, Hood River, OR 97031	Camp Tapawingo, Black Rock Road, Falls City, Oregon	222407	9488
McKenzie River Trail, Lane County, OR	Storm King Trail, Bend, OR 97701	133678	6396
National Forest Development Road 550, Lowell, OR 97452	Tolo Creek	191503	10284
Tiddlywinks Trail, Bend, OR 97701	16213-16221 Skyliners Rd, Bend, OR 97701	34254	2035
McKenzie River Trail, Lane County, OR	Kiwa Butte Trail, Bend, OR 97701	138938	6438
National Forest Development Road 1910, Westfir, OR 97492	Storm King Trail, Bend, OR 97701	186126	9124
Storm King Trail, Bend, OR 97701	Paulina Lake Campground, La Pine, OR 97739	72428	3868